file,span_count,rule_matches_sum,rule_matches_per_span
trace-1615f6e96d84a2ae19f9b7dbcec5a1df.json,3,1,0.3333333333333333
trace-166b6dcdc25eefd4981b77c4ec8d6329.json,3,1,0.3333333333333333
trace-16bf3ec2651c639adcdbf64142f681ea.json,3,1,0.3333333333333333
trace-16ee03982daca0a6209806065e2acb1c.json,3,1,0.3333333333333333
trace-17bc922ed328fd5ffc573a075676e31b.json,3,1,0.3333333333333333
trace-180810049d8fd7f5cf660a27a6e53173.json,2,2,1.0
trace-1891bbf51baad41e8de3e88f29736ce5.json,3,1,0.3333333333333333
trace-18e4aa17f0baab023c8f10e156e889c1.json,3,1,0.3333333333333333
trace-18ebba1d4c6fcb0b807bff7475872434.json,3,1,0.3333333333333333
trace-192b9e2cc51235721c21be58946aea60.json,6,1,0.16666666666666666
trace-196849d84e1406429afb96812a439cf8.json,2,1,0.5
trace-197f5aadf022a73a2117f2fd63b414e6.json,5,5,1.0
trace-199c30e7ebd49ecd5c5826aa166cd498.json,5,1,0.2
trace-1ba67f46357487ae74b54c06d97a4d97.json,5,1,0.2
trace-1bb542da1389451e1617dd776e142981.json,3,3,1.0
trace-1c48329975f65b4201be2ec361b918d8.json,41,1,0.024390243902439025
trace-1c9b4623aa5f72567b2e742fd42c7080.json,2,1,0.5
trace-1ce4196f39f3920ad8ccc05ee0b667dc.json,2,2,1.0
trace-1d244fc591a28d595d70a6bfe95c56e2 (1).json,35,70,2.0
trace-1d827a4b02af4cff1084fbb94abef57d.json,5,1,0.2
trace-1d8df01bca5dac5b617e7e87038a963e.json,5,1,0.2
trace-1d9f455e24f3df39acb8844e7b748746.json,2,2,1.0
trace-1e12a3ed97bf66b6b18dafdfdb577a89.json,5,1,0.2
trace-1ebcf2b7bb743e5fac5009dee415fccc.json,2,2,1.0
trace-1ee1091223bbf852f36ed7b4bee0123c.json,3,1,0.3333333333333333
trace-1fc341a54b87df453ee30c2653e9dbf1.json,2,3,1.5
trace-202fee6c68c71ee5148b13e0620e8703.json,5,2,0.4
trace-203bbf97f3413e0c736d95d91e6322de.json,5,1,0.2
trace-205f4cf1c1ad100a71aec2e495292b80.json,2,1,0.5
trace-2087059793966b5dd0ae385d65199ce0.json,1,2,2.0
trace-219990ce59dbd268f620b555cbb062d4.json,5,2,0.4
trace-21bb8bdd14a0f1c43b56df3d7d735b9f.json,2,1,0.5
trace-21cc9b9f7bf19d7bce6c11746ecfdf0c.json,3,1,0.3333333333333333
trace-221aef04dcbdf7ef7cf7afa39f1df83c.json,1,1,1.0
trace-2226e60f817ecf439348bdb648d94f04.json,5,3,0.6
